trial,bmi,ht,wt
GSK101468_169,26.19855766141018,168.3669211195929,74.43163265306123
GSK101468_204,28.08476613293381,168.9892086330935,80.36205031846067
GSK101468_205,29.461572622186143,168.19427219321148,83.14738211800291
GSK101468_249,28.31611704890014,169.25158005249344,81.17198368913408
GSK200109,27.59886914378029,167.21486268174476,77.29224555735057
GSK200110,27.351612903225806,170.32096774193548,79.72967741935484
GSK200165_v02,29.272617880028896,168.9131455399061,83.5556338028169
GSK201315,27.488007736943906,168.79980657640232,78.61518375241779
GSKAC4116135,27.743207986317103,170.05996758508914,80.52402597402597
GSKAR1103420,27.377735652826964,167.6212631261619,77.09155951368389
GSKAR2103413_v02,26.55344529855076,168.33244191876986,75.40581154005811
GSKAVA102670_v02,25.421342534260024,164.7544338335607,69.24608577263444
GSKAVA102672_v02,25.252796312644488,162.65421195652175,67.1366779661017
GSKAVA105640_v02,24.783962960547264,163.09827586206896,66.13137931034483
GSKB2C112060,27.218949341165228,166.26512968299713,75.55936599423632
GSKCOR103560,33.09476415300682,167.7300380228137,93.2060606060606
GSKCOR103561,32.682044552440935,169.17445482866043,93.58366718027735
GSKDB2113360_v02,27.20224852071006,170.1360946745562,78.9207100591716
GSKFFA112059,28.168131716645775,167.98280802292263,79.90286532951289
GSKFFA115285,27.91546726312857,163.48433048433048,74.77008547008548
GSKFFR106080,25.9836537045393,170.01655629139074,75.29238407935529
GSKFFR30003,29.26646178775762,165.996699669967,80.85478547854709
GSKFFR30006,26.67210831554413,168.42890995260663,75.92482435597125
GSKFFR30007,26.35199194515407,168.85885167464116,75.36484560570011
GSKFFU111439,26.798982572802643,168.57142857142858,76.22566964285714
GSKHGS1006_C1056_v05,26.994521980629898,164.09185905224788,72.90496368038741
GSKHGS1006_C1057_v03,24.05716810689832,159.48223760092273,61.24186851211073
GSKMEA115588,27.795825171557393,165.44655172413792,76.32655172413793
GSKROR104836,27.330173290137516,169.22885572139305,78.38084577114428
