"","V1"
"antacids",7.74008600095557
"anxiety",11.2338748208313
"arthritis",15.1039178213091
"prostate",1.94696607740086
"CV",29.4135212613473
"dementia",0.435977066411849
"diabetes",8.05661729574773
"erectile",0.435977066411849
"epilepsy",0.376254180602007
"glaucoma",0.991399904443383
"gout",1.48709985666507
"inflammatory",6.71285236502628
"inflammatory4",1.55876731963688
"migraine",1.21834687052078
"osteoporosis",2.88461538461538
"pain",14.0587673196369
"pain3",3.11156235069279
"parkinsons",3.15336837075968
"asthma_COPD",28.1414237935977
"schizophrenia",0.854037267080745
"thromboembolic",1.58265647396082
"thyroid",5.63186813186813
"urological",0.471810797897754
"urological_or_ed",0.316531294792164
"urological_or_ed_or_bph",0.0895843287147635
"skin",3.87601528905877
