company,trial,date_formatted,num_formatted,randdt
gsk,GSKAVA102670_v02,1,0,2008-04-23
gsk,GSKAVA102672_v02,1,0,2007-08-23
gsk,GSKAVA105640_v02,1,0,2007-12-04
gsk,GSKMEA115588,1,0,2012-09-29
gsk_new,GSK200165_v02,1,0,2013-11-28
gsk_new,GSKAR1103420,1,0,2004-06-15
gsk_new,GSKAR2103413_v02,1,0,2004-08-08
gsk_new,GSKAVD100521_v02,1,0,2006-06-25
gsk_new,GSKCOR103560,1,0,2005-10-26
gsk_new,GSKCOR103561,1,0,2007-03-10
gsk_new,GSKFFR101816,1,0,2004-12-24
gsk_new,GSKFFR30003,1,0,2005-05-11
gsk_new,GSKFFR30006,1,0,2005-05-28
gsk_new,GSKFFR30007,1,0,2006-03-29
gsk_new,GSKFFU111439,1,0,2007-06-21
gsk_new,GSKROR104836,1,0,2006-06-18
