"","V1"
"antacids",13.100926938799
"anxiety",14.0422591974207
"arthritis",14.6323910415107
"prostate",4.68651044965168
"CV",57.6918648166273
"dementia",0.538315389487017
"diabetes",38.7846162703667
"erectile",2.27128792676608
"epilepsy",0.958604410156025
"glaucoma",5.48966549599862
"gout",2.93626576083828
"inflammatory",6.22661062813058
"inflammatory4",2.73763601819333
"migraine",1.04496516782774
"osteoporosis",1.57176578962519
"pain",14.3934596119523
"pain3",3.06292820542346
"parkinsons",1.65236916345213
"asthma_COPD",7.70913696816167
"schizophrenia",0.636190914848293
"thromboembolic",1.9632678910703
"thyroid",6.50296505268006
"urological",0.688007369451321
"urological_or_ed",0.086360757671714
"urological_or_ed_or_bph",0.086360757671714
"skin",8.98439748978064
